,decay,dist,factor
0,0.057273617030445,7856.8258892004105,0.7056459659799559
1,0.9951358240466032,12695.867641817294,0.2633667936942762
2,0.14737395793407293,7916.368744315492,0.7606857000352134
3,0.8946947995686199,7903.327767775409,0.8082795838409293
4,0.9696489380873465,8105.839662049991,0.36577003376440964
5,0.8661135262408464,8097.71598903779,0.65337177394396
6,0.4615318961436465,8089.322873264399,0.8882293215154545
7,0.18703868841082794,7948.8019983219765,0.728203035711751
8,0.5273625318780027,8041.864080423053,0.6480182163178313
9,0.8852517310253426,8042.591785119225,0.9890023594027629
10,0.40951909785464935,8038.961644379053,0.45634379486511517
11,0.3831284521630379,7808.631740723547,0.5096393753693308
12,0.33768991795055847,7858.496582038625,0.45961027313057556
13,0.4714295267073717,7746.23640555109,0.07785837495086066
14,0.4924462147319458,8073.219638224099,0.9331961634913706
15,0.7399888573721671,8030.258627104607,0.41727532339716095
16,0.9418645812866883,8067.623203545156,0.5620437156128593
17,0.40112657310605626,8061.844539494182,0.5199893170396515
18,0.3949118050833931,7974.010169301848,0.9091114179608418
19,0.18384114292815978,7960.009995405125,0.6559736627041249
20,0.47351866248294977,8007.755767796725,0.9865129537849127
21,0.5136169488846895,7985.090538396411,0.43849855514761304
22,0.5430443343002651,7971.1931858521975,0.471326836791242
23,0.4348596205894707,8159.82914458244,0.27906002458110274
24,0.4344803539828003,8056.858111481573,0.05869926828731261
25,0.5935412723748243,7894.15150279397,0.8261967588026239
26,0.507992450336917,7892.9866486791025,0.7199202319495318
27,0.41068845099325874,7976.227149984037,0.26710664819576097
28,0.20811698613589644,8024.901711598364,0.758105827434974
29,0.15399728666164464,8049.862864195905,0.9014283747531785
30,0.7383591790784925,7926.730912441387,0.5252256802126427
31,0.7824505807798428,8049.815100277259,0.8425021111259171
32,0.8199574921354986,8137.632353486326,0.4542286625720468
33,0.5143572545241978,7951.782392760875,0.748798940225156
34,0.3278879821102203,8019.772896831311,0.30101207434179855
35,0.07943880058617817,7923.343408725965,0.46310228000164366
36,0.3709469578953553,7993.136294296689,0.598862146503331
37,0.42462782922312836,7967.380770853545,0.021059962639780175
38,0.7881672366449219,7931.875185835931,0.4117653850180293
39,0.15194696893640114,7976.609462624289,0.2207582453065133
40,0.6696914566338896,8033.551824004736,0.12831543191951808
41,0.04491543300639953,7920.709536265888,0.42585862045942713
42,0.9837084392221057,8067.859391811175,0.7326695346173778
43,0.1296099949504521,7741.795941964894,0.4690400471746551
44,0.1606836127704408,8052.723604866291,0.0032995141145167497
45,0.33502001177699436,8048.52599995431,0.6811335921733935
46,0.8073004804096744,7910.059908811723,0.6127009002241406
47,0.021887233660866836,7823.2232062005505,0.38599982492499646
48,0.46928731033948407,7883.115463587135,0.20196370314025128
49,0.08685237409242175,8034.402689382554,0.8087402578538331
50,0.11134549896997493,7549.289019371725,0.9547025442547675
51,0.09892666945123128,7869.501881197251,0.4310455949781099
52,0.6044202314853607,8046.707397000335,0.16597689093463555
53,0.08485205926727332,7829.806146301186,0.344043017268734
54,0.2154325177758988,7935.825895430892,0.8411361129683671
55,0.36390218526184726,7937.737087293162,0.13095440351383492
56,0.16193799553203111,7974.429425802844,0.7228092790392925
57,0.30947923517194287,7751.032472357779,0.9314292943800576
58,0.5503856257733086,8062.934331990613,0.5934981737275845
59,0.20292927257563884,7902.480211951727,0.28163369038644426
60,0.051854210207966156,7998.733830009347,0.8777261523100464
61,0.5564270679942388,7842.355534955397,0.37874057561017904
62,0.5781916140275623,7909.038488450689,0.20190748545681456
63,0.644921851551424,8009.619499642938,0.8436794483556478
64,0.8991612051878445,7985.676661107036,0.3572596441394747
65,0.19089033127117572,8018.367906670777,0.3231682696840786
66,0.9784809020106972,8169.794388345965,0.0926912618909364
67,0.9256862281000118,8005.148855644065,0.34612058904810783
68,0.7437423552108451,7970.49266339006,0.38121238636324284
69,0.5676455220751015,7777.322681502981,0.26353556525722355
70,0.480742515605293,8013.882556804507,0.597713417699697
71,0.48658915913899525,7859.820858573641,0.7957017109377983
72,0.07236788452798623,7912.989783735398,0.2944170643219746
73,0.5254179343269917,7951.190572555857,0.46254002514531495
74,0.4654863837417991,8029.094120171868,0.8872990830913637
75,0.7860286054296804,8013.594281205377,0.22429457344068582
